run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
Aircomp-0-20221109-06:40:02-24664,runattr,,,configname,Aircomp,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,datetime,20221109-06:40:02,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,experiment,Aircomp,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,inifile,omnetpp.ini,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,iterationvars,,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,iterationvarsf,,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,measurement,,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,network,lte.simulations.Mode4_CAM.Highway,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,processid,24664,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,repetition,0,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,replication,#0,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,resultdir,results,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,runnumber,0,,,
Aircomp-0-20221109-06:40:02-24664,runattr,,,seedset,0,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].applType,"""Mode4Aircomp""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].appl.packetSize,190,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].appl.period,0.1s,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].appl.periodMax,0.1s,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].appl.periodMin,0.01s,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].appl.priority,5,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].appl.duration,1000,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.coreDebug,false,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.routingRecorder.enabled,false,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.playgroundSizeX,20000m,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.playgroundSizeY,20000m,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.playgroundSizeZ,50m,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.annotations.draw,true,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.channelControl.pMax,10W,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.channelControl.alpha,1.0,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.channelControl.carrierFrequency,6000e+6Hz,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.lteNic.phy.channelModel,"xmldoc(""config_channel.xml"")",,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.feedbackComputation,"xmldoc(""config_channel.xml"")",,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.rbAllocationType,"""localized""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.feedbackType,"""ALLBANDS""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.feedbackGeneratorType,"""IDEAL""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.maxHarqRtx,0,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.deployer.ruRange,50,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.deployer.ruTxPower,"""50,50,50;""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.deployer.antennaCws,"""2;""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.deployer.numRbDl,17,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.deployer.numRbUl,16,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.numBands,16,,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.fbDelay,1,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.veinsManager.moduleType,"""lte.corenetwork.nodes.cars.CarNonIp""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.veinsManager.moduleName,"""car""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.veinsManager.moduleDisplayString,"""*='i=veins/node/car;is=vs'""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.veinsManager.launchConfig,"xmldoc(""highway/LS_001/ls.launchd.xml"")",,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.veinsManager.updateInterval,0.001s,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.veinsManager.firstStepAt,500s,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].mobilityType,"""VeinsInetMobility""",,,
Aircomp-0-20221109-06:40:02-24664,param,,,**.deployer.positionUpdateInterval,0.01s,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].d2dCapable,true,,,
Aircomp-0-20221109-06:40:02-24664,param,,,*.car[*].mode4D2D,true,,,
